Date,Hour,Value_real,Value_comercial,diferencia,porcentaje_diferencia
2024-04-27,1,8270396.21,8416268.81,-145872.60000000056,-1.7332217315430605
2024-04-27,2,7997359.69,8139684.03,-142324.33999999985,-1.7485241377360916
2024-04-27,3,7794077.74,7934365.14,-140287.39999999944,-1.7680986131172614
2024-04-27,4,7666873.0600000005,7801216.87,-134343.8099999996,-1.7220878772980401
2024-04-27,5,7673743.35,7802711.66,-128968.31000000052,-1.6528652553079286
2024-04-27,6,7736439.68,7866953.71,-130514.03000000026,-1.6590161174343592
2024-04-27,7,7942615.17,8060693.66,-118078.49000000022,-1.464867602970043
2024-04-27,8,8479465.790000001,8611512.5,-132046.70999999903,-1.533374189493414
2024-04-27,9,8880727.94,9019758.21,-139030.27000000142,-1.5413968619010399
2024-04-27,10,9295098.370000001,9417098.64,-122000.26999999955,-1.295518658812727
2024-04-27,11,9501526.46,9631106.7,-129580.23999999836,-1.3454345802232508
2024-04-27,12,9764886.96,9882655.08,-117768.11999999918,-1.1916647808374101
2024-04-27,13,9701875.540000001,9825242.61,-123367.06999999844,-1.255613473345046
2024-04-27,14,9622374.03,9761981.47,-139607.44000000134,-1.4301137574275824
2024-04-27,15,9530058.56,9669628.56,-139570.0,-1.4433853289603504
2024-04-27,16,9475526.63,9613448.98,-137922.34999999963,-1.434681250058495
2024-04-27,17,9369117.32,9515583.9,-146466.58000000007,-1.5392285070388594
2024-04-27,18,9307018.459999999,9453804.19,-146785.73000000045,-1.5526631084158349
2024-04-27,19,9872021.26,10022279.38,-150258.12000000104,-1.499240984040509
2024-04-27,20,9903857.51,10070282.41,-166424.90000000037,-1.6526338907311773
2024-04-27,21,9642177.02,9806988.02,-164811.0,-1.6805465619402278
2024-04-27,22,9235176.58,9391935.06,-156758.48000000045,-1.6690754248038897
2024-04-27,23,8796589.51,8934686.71,-138097.20000000112,-1.545630020193524
2024-04-27,24,8388768.41,8515651.18,-126882.76999999955,-1.4899949201535936
2024-04-28,1,8022050.0,8153358.39,-131308.38999999966,-1.61048225429472
2024-04-28,2,7698474.0600000005,7823646.09,-125172.02999999933,-1.599919379788808
2024-04-28,3,7370229.96,7495560.68,-125330.71999999974,-1.6720659781250646
2024-04-28,4,7163931.55,7290789.06,-126857.50999999978,-1.7399695555037742
2024-04-28,5,7062129.16,7186795.65,-124666.49000000022,-1.734660286326636
2024-04-28,6,6940685.59,7058942.05,-118256.45999999996,-1.6752717214897659
2024-04-28,7,6792730.510000001,6899473.59,-106743.07999999914,-1.5471191911613527
2024-04-28,8,7059396.569999999,7167562.93,-108166.36000000034,-1.509109317300411
2024-04-28,9,7364396.47,7482302.18,-117905.70999999996,-1.5757945504414252
2024-04-28,10,7646584.46,7759851.09,-113266.62999999989,-1.4596495304654087
2024-04-28,11,7890503.24,8026182.22,-135678.97999999952,-1.6904547676715909
2024-04-28,12,8163850.71,8277771.71,-113921.0,-1.3762278544403106
2024-04-28,13,8350569.25,8459761.83,-109192.58000000007,-1.2907287722070548
2024-04-28,14,8351479.16,8469134.8,-117655.6400000006,-1.3892285667716682
2024-04-28,15,8251532.05,8364289.97,-112757.91999999993,-1.3480871706316506
2024-04-28,16,8247326.51,8373980.81,-126654.29999999981,-1.5124742087867267
2024-04-28,17,8273725.6899999995,8391670.64,-117944.95000000112,-1.4055002282596867
2024-04-28,18,8258744.05,8366776.05,-108032.0,-1.2912022427085281
2024-04-28,19,8906608.42,9037799.05,-131190.63000000082,-1.451577195666912
2024-04-28,20,9164769.39,9296771.6,-132002.20999999903,-1.4198714960363128
2024-04-28,21,9066048.94,9195967.42,-129918.48000000045,-1.4127766450916857
2024-04-28,22,8835945.2,8965875.21,-129930.01000000164,-1.4491614812470899
2024-04-28,23,8429356.54,8547088.54,-117732.0,-1.3774515081833938
2024-04-28,24,7989432.82,8101750.18,-112317.3599999994,-1.3863345265479343
2024-04-29,1,7651434.51,7755006.39,-103571.87999999989,-1.335548609393214
2024-04-29,2,7457210.100000001,7559477.81,-102267.70999999903,-1.3528409312176952
2024-04-29,3,7324743.84,7424995.07,-100251.23000000045,-1.3501858123119326
2024-04-29,4,7261201.11,7358043.41,-96842.29999999981,-1.3161420041146483
2024-04-29,5,7460766.08,7541190.63,-80424.54999999981,-1.0664701894692696
2024-04-29,6,7895788.2,7993483.44,-97695.24000000022,-1.2221860560957165
2024-04-29,7,8117628.5200000005,8218854.74,-101226.21999999974,-1.2316341291122483
2024-04-29,8,8633100.68,8737461.99,-104361.31000000052,-1.194412177351292
2024-04-29,9,9024899.28,9136051.0,-111151.72000000067,-1.2166276217153416
2024-04-29,10,9312057.98,9427128.2,-115070.21999999881,-1.2206285685178102
2024-04-29,11,9627297.13,9745374.94,-118077.80999999866,-1.2116292161869215
2024-04-29,12,9907682.88,10044638.03,-136955.1499999985,-1.3634652596834145
2024-04-29,13,9855523.76,9985168.43,-129644.66999999993,-1.2983723900989812
2024-04-29,14,9995102.0,10132913.19,-137811.18999999948,-1.3600352378031129
2024-04-29,15,10223983.24,10353215.34,-129232.09999999963,-1.2482315469736924
2024-04-29,16,10235487.32,10365625.7,-130138.37999999896,-1.2554802166935177
2024-04-29,17,10172363.200000001,10315355.57,-142992.36999999918,-1.3862088323534074
2024-04-29,18,9911360.46,10040895.25,-129534.7899999991,-1.2900721178223535
2024-04-29,19,10380019.99,10521997.09,-141977.09999999963,-1.3493360508047776
2024-04-29,20,10589158.700000001,10741050.68,-151891.97999999858,-1.4141259037425806
2024-04-29,21,10374298.7,10522650.66,-148351.9600000009,-1.4098345064702633
2024-04-29,22,9973266.81,10127382.98,-154116.16999999993,-1.5217768529575242
2024-04-29,23,9343423.209999999,9476883.76,-133460.55000000075,-1.4082746330952227
2024-04-29,24,8728383.84,8842359.25,-113975.41000000015,-1.2889705877987274
2024-04-30,1,8232996.7,8352906.12,-119909.41999999993,-1.4355413346846033
