Date,Agente,code,Hour01,Hour02,Hour03,Hour04,Hour05,Hour06,Hour07,Hour08,Hour09,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
2024-04-27,ITLC,ITLC,13789.59,14457.05,14634.29,13810.16,14015.31,13557.69,13008.54,14469.87,15556.08,14905.2,15769.24,15781.16,15628.79,15445.79,14979.39,14995.05,14247.47,13986.3,13533.35,13524.71,13107.25,11888.26,9624.16,10309.26
2024-04-28,ITLC,ITLC,10415.44,10282.2,10015.24,9880.55,9374.72,7965.87,5914.8,6034.99,6242.94,6239.13,5572.14,5374.4,5119.79,4933.48,5533.54,6361.49,7190.6,7252.97,7306.83,7129.77,7638.64,7438.26,8803.17,9533.94
2024-04-29,ITLC,ITLC,10133.05,10833.81,11389.03,12181.98,12830.76,12684.38,12835.13,14875.4,16915.41,16926.86,17083.38,17380.29,16346.95,16290.75,17361.1,18234.9,18462.66,16430.99,16095.62,16154.67,16427.1,16012.58,15676.18,14754.82
2024-04-30,ITLC,ITLC,14889.27,15441.57,14438.15,15478.69,15414.74,14483.44,13701.07,14686.16,15859.35,16430.62,16376.73,16498.6,16733.71,17077.65,17502.73,17799.31,17149.9,16479.23,15715.66,16220.77,15767.63,14335.97,13916.12,13683.96
2024-04-27,CHCC,CHCC,87466.92,81946.67,77580.42,75814.77,79230.11,85324.93,94866.8,109263.35,120531.18,127983.21,132994.11,140206.7,140058.86,134720.6,131439.87,129645.59,128206.81,129643.03,145748.76,151024.77,143321.94,132571.44,117341.46,101645.8
2024-04-28,CHCC,CHCC,91764.13,85423.56,80924.73,79179,78593.68,80163.63,81955.12,92406.47,104068.12,113232.18,119139.87,126506.28,130070.42,129561.49,123404.36,119552.29,118189.56,121487.88,137760.3,144751.3,139337.75,127152.99,109253.2,92171.76
2024-04-29,CHCC,CHCC,83626.48,78092.82,75552.7,75080.85,80868.73,98180.36,108853.78,111628.69,116402.86,122537.27,130083.28,137599.02,135968.36,133233.51,134071.6,133562.26,133936.09,136793.09,151236.76,157136.31,150545.3,137373.12,114559.12,97771.63
2024-04-30,CHCC,CHCC,86101.04,80078.75,78197.68,77028.07,83205.7,101222.64,111187.43,115556.5,119287.34,125391.99,134093.9,141223.95,139826.27,134987.04,135679.94,131669.34,133095.52,134981.28,151302.05,153933.29,146546.23,134548.54,115872.29,99791.62
2024-04-27,TMVG,TMVG,294.49,318.22,265.06,239,235.88,250.95,265.27,241.62,230.45,224.55,242.01,253.6,259.76,248.57,226.85,198.12,209.45,206.52,164.53,153.42,171.44,200.87,224.54,259.89
2024-04-28,TMVG,TMVG,292.89,342.24,303.9,224.6,131.11,123.05,123.57,124.63,123.58,275.92,387.05,382.6,365.41,373.09,374.47,301.97,246.48,239.33,268.45,266.57,265.57,263.48,285.12,298.49
2024-04-29,TMVG,TMVG,1076.26,2675.92,2090.25,1565.16,1413.69,1282.42,1292.52,1110.76,676.55,949.19,1181.44,1282.42,1292.52,959.29,676.55,676.55,1262.23,858.31,1343.01,1343.01,1332.91,1353.11,1373.3,1383.4
2024-04-30,TMVG,TMVG,1393.5,1393.5,1383.4,1373.3,1382.61,1442.76,2652.04,1625.98,27.21,79.36,121.65,97.31,98.14,114.86,106.57,105.99,74.04,66.5,56.48,48.53,58.52,67.5,736.29,2622.86
2024-04-27,RENG,RENG,,,,,,,,2.7,13.48,40.08,22.06,,,,,,,,,,,,,
2024-04-28,RENG,RENG,,,,,,,,59.78,21.94,11.39,4.99,,,,,,,,,,,,,
2024-04-29,RENG,RENG,,,,,,,,25.95,,11.42,13.39,,,,,,,,,,,,,
2024-04-30,RENG,RENG,,,,,,,,35.42,56.77,51.97,42.68,,,,,,,,,,,,,
2024-04-27,ESSC,ESSC,230935.17,220243.84,212879.86,208382.94,208216.95,205513.62,210279.24,234741.67,262053.46,276573.43,288484.19,294948.68,288856.83,283930.1,283788.81,284784.2,280138.48,280411.99,310540.32,311527.36,302278.56,289206.39,272360.12,254536.81
2024-04-28,ESSC,ESSC,238998.98,228531.59,218988.69,212598.38,210574.47,204657.82,199531.98,212409.53,227504.42,240282.72,251182.41,261390.98,262704.8,263501.21,261896.28,260896.95,258342.55,261920.74,293942.2,300231.58,295276.86,285588.51,266760.11,245542.61
2024-04-29,ESSC,ESSC,229664.02,218486.69,209366.24,202017.6,202781.6,211234.09,213610.62,239355.32,263837.78,276075.77,289296.81,299308.02,285098.54,291946,307854.25,313599.37,311459.92,299874.83,318665.58,318898.12,311047.72,293215.22,268447.08,244974.9
2024-04-30,ESSC,ESSC,231185.25,221480.51,214586.8,211292.71,213640.4,219224.17,226490.99,252935.83,279108.99,295040.54,311113.29,320974.33,310381.18,322597.67,336934.16,333945.29,325063.2,312431.29,331476.46,330604.22,320834.19,306538.71,285741.52,264427.66
