Date,Agente,code,Hour,Value
2024-04-27,1,ITLC,01,13789.59
2024-04-28,1,ITLC,01,10415.44
2024-04-29,1,ITLC,01,10133.05
2024-04-30,1,ITLC,01,14889.27
2024-04-27,2,CHCC,01,87466.92
2024-04-28,2,CHCC,01,91764.13
2024-04-29,2,CHCC,01,83626.48
2024-04-30,2,CHCC,01,86101.04
2024-04-27,3,TMVG,01,294.49
2024-04-28,3,TMVG,01,292.89
2024-04-29,3,TMVG,01,1076.26
2024-04-30,3,TMVG,01,1393.5
2024-04-27,4,RENG,01,0.0
2024-04-28,4,RENG,01,0.0
2024-04-29,4,RENG,01,0.0
2024-04-30,4,RENG,01,0.0
2024-04-27,5,ESSC,01,230935.17
2024-04-28,5,ESSC,01,238998.98
2024-04-29,5,ESSC,01,229664.02
2024-04-30,5,ESSC,01,231185.25
2024-04-27,6,GSAC,01,0.0
2024-04-28,6,GSAC,01,6.08
2024-04-29,6,GSAC,01,7.1
2024-04-30,6,GSAC,01,7.1
2024-04-27,7,TCIG,01,1088.91
2024-04-28,7,TCIG,01,1085.14
2024-04-29,7,TCIG,01,1082.14
2024-04-30,7,TCIG,01,1085.22
2024-04-27,8,BIAC,01,27571.31
2024-04-28,8,BIAC,01,22161.04
2024-04-29,8,BIAC,01,22622.88
2024-04-30,8,BIAC,01,27360.38
2024-04-27,9,EGRG,01,8.19
2024-04-28,9,EGRG,01,8.19
2024-04-29,9,EGRG,01,7.56
2024-04-30,9,EGRG,01,6.93
2024-04-27,10,TCNG,01,348.49
2024-04-28,10,TCNG,01,325.91
2024-04-29,10,TCNG,01,308.64
2024-04-30,10,TCNG,01,234.54
2024-04-27,11,PDSG,01,134.45
2024-04-28,11,PDSG,01,129.72
2024-04-29,11,PDSG,01,202.39
2024-04-30,11,PDSG,01,125.84
2024-04-27,12,BCCG,01,17.0
2024-04-28,12,BCCG,01,16.37
2024-04-29,12,BCCG,01,15.11
2024-04-30,12,BCCG,01,17.0
2024-04-27,13,TMMG,01,795.15
2024-04-28,13,TMMG,01,662.54
2024-04-29,13,TMMG,01,896.7
2024-04-30,13,TMMG,01,826.59
2024-04-27,14,UNGG,01,9.18
2024-04-28,14,UNGG,01,9.1
2024-04-29,14,UNGG,01,9.22
2024-04-30,14,UNGG,01,9.36
2024-04-27,15,PSGG,01,12.47
2024-04-28,15,PSGG,01,11.23
2024-04-29,15,PSGG,01,11.23
2024-04-30,15,PSGG,01,11.23
2024-04-27,16,DRUC,01,14124.2
2024-04-28,16,DRUC,01,40588.68
2024-04-29,16,DRUC,01,47507.65
2024-04-30,16,DRUC,01,14100.23
2024-04-27,17,SLUG,01,176.97
2024-04-28,17,SLUG,01,173.52
2024-04-29,17,SLUG,01,168.11
2024-04-30,17,SLUG,01,171.77
2024-04-27,18,SLMG,01,133.52
2024-04-28,18,SLMG,01,137.93
2024-04-29,18,SLMG,01,137.48
2024-04-30,18,SLMG,01,135.98
2024-04-27,19,FERG,01,0.0
2024-04-28,19,FERG,01,0.0
2024-04-29,19,FERG,01,0.0
2024-04-30,19,FERG,01,0.0
2024-04-27,20,EXEC,01,14141.84
2024-04-28,20,EXEC,01,12728.22
2024-04-29,20,EXEC,01,11562.55
2024-04-30,20,EXEC,01,14616.52
2024-04-27,21,TRMG,01,47.54
2024-04-28,21,TRMG,01,46.6
2024-04-29,21,TRMG,01,52.81
2024-04-30,21,TRMG,01,52.66
2024-04-27,22,TERG,01,5.81
2024-04-28,22,TERG,01,5.62
2024-04-29,22,TERG,01,5.84
2024-04-30,22,TERG,01,5.65
2024-04-27,23,CHVC,01,49620.52
2024-04-28,23,CHVC,01,49964.61
2024-04-29,23,CHVC,01,44374.39
2024-04-30,23,CHVC,01,52274.4
2024-04-27,24,CHVG,01,217.41
2024-04-28,24,CHVG,01,291.47
2024-04-29,24,CHVG,01,258.77
2024-04-30,24,CHVG,01,248.04
2024-04-27,25,SDCG,01,96.46
2024-04-28,25,SDCG,01,94.76
2024-04-29,25,SDCG,01,95.42
2024-04-30,25,SDCG,01,94.82
2024-04-27,26,GNSG,01,48.0
2024-04-28,26,GNSG,01,48.09
2024-04-29,26,GNSG,01,47.95
2024-04-30,26,GNSG,01,49.71
2024-04-27,27,GPYG,01,0.0
2024-04-28,27,GPYG,01,0.0
2024-04-29,27,GPYG,01,0.0
2024-04-30,27,GPYG,01,0.0
2024-04-27,28,ENBC,01,4688.54
2024-04-28,28,ENBC,01,4574.04
2024-04-29,28,ENBC,01,4279.93
2024-04-30,28,ENBC,01,4484.58
2024-04-27,29,NTCG,01,20.27
2024-04-28,29,NTCG,01,18.31
2024-04-29,29,NTCG,01,640.7
2024-04-30,29,NTCG,01,553.64
2024-04-27,30,SCEC,01,512.06
2024-04-28,30,SCEC,01,533.46
2024-04-29,30,SCEC,01,466.93
2024-04-30,30,SCEC,01,518.62
2024-04-27,31,ESVC,01,401.3
2024-04-28,31,ESVC,01,425.53
2024-04-29,31,ESVC,01,447.91
2024-04-30,31,ESVC,01,379.87
2024-04-27,32,ENDG,01,36930.03
2024-04-28,32,ENDG,01,29616.44
2024-04-29,32,ENDG,01,20818.55
2024-04-30,32,ENDG,01,12109.38
2024-04-27,33,ENDC,01,1458058.51
2024-04-28,33,ENDC,01,1364734.29
2024-04-29,33,ENDC,01,1293229.51
2024-04-30,33,ENDC,01,1382077.19
2024-04-27,34,RTAC,01,353.96
2024-04-28,34,RTAC,01,300.27
2024-04-29,34,RTAC,01,261.49
2024-04-30,34,RTAC,01,264.75
2024-04-27,35,CEOC,01,58539.9
2024-04-28,35,CEOC,01,61444.56
2024-04-29,35,CEOC,01,55929.35
2024-04-30,35,CEOC,01,57192.93
2024-04-27,36,NRCG,01,4.7
2024-04-28,36,NRCG,01,0.0
2024-04-29,36,NRCG,01,0.0
2024-04-30,36,NRCG,01,0.0
2024-04-27,37,ETTC,01,42607.19
2024-04-28,37,ETTC,01,34358.4
2024-04-29,37,ETTC,01,35544.89
2024-04-30,37,ETTC,01,42571.15
2024-04-27,38,CTZG,01,0.0
2024-04-27,39,AAGG,01,130.01
2024-04-28,39,AAGG,01,86.78
2024-04-29,39,AAGG,01,80.12
2024-04-30,39,AAGG,01,133.36
2024-04-27,40,EMPC,01,1636.35
2024-04-28,40,EMPC,01,1681.47
2024-04-29,40,EMPC,01,1574.78
2024-04-30,40,EMPC,01,1676.36
2024-04-27,41,ERRG,01,34.4
2024-04-28,41,ERRG,01,32.74
2024-04-29,41,ERRG,01,33.05
2024-04-30,41,ERRG,01,31.27
2024-04-27,42,TENC,01,5213.41
2024-04-28,42,TENC,01,5143.28
2024-04-29,42,TENC,01,5046.66
2024-04-30,42,TENC,01,5211.49
2024-04-27,43,TCBG,01,206.4
2024-04-27,44,CMMC,01,1081350.78
2024-04-28,44,CMMC,01,1060424.94
2024-04-29,44,CMMC,01,1054764.83
2024-04-30,44,CMMC,01,1140542.76
2024-04-27,45,GNYG,01,74.71
2024-04-28,45,GNYG,01,85.95
2024-04-29,45,GNYG,01,88.55
2024-04-30,45,GNYG,01,88.84
2024-04-27,46,HDTG,01,0.0
2024-04-29,46,HDTG,01,0.0
2024-04-30,46,HDTG,01,0.0
2024-04-27,47,GAPC,01,8190.34
2024-04-28,47,GAPC,01,5350.8
2024-04-29,47,GAPC,01,6945.37
2024-04-30,47,GAPC,01,9060.06
2024-04-27,48,CSSC,01,1058867.33
2024-04-28,48,CSSC,01,1078402.23
2024-04-29,48,CSSC,01,1056481.32
2024-04-30,48,CSSC,01,1119799.48
2024-04-27,49,PCYG,01,2.84
2024-04-28,49,PCYG,01,2.99
2024-04-29,49,PCYG,01,2.89
2024-04-30,49,PCYG,01,2.76
2024-04-27,50,PRIG,01,0.0
2024-04-28,50,PRIG,01,0.0
2024-04-29,50,PRIG,01,415.83
2024-04-30,50,PRIG,01,362.89
2024-04-27,51,GNYC,01,88.61
2024-04-28,51,GNYC,01,128.31
2024-04-29,51,GNYC,01,88.82
2024-04-30,51,GNYC,01,91.72
2024-04-27,52,LESC,01,5104.92
2024-04-28,52,LESC,01,5096.59
2024-04-29,52,LESC,01,5084.85
2024-04-30,52,LESC,01,4423.78
2024-04-27,53,SFEG,01,0.0
2024-04-28,53,SFEG,01,0.0
2024-04-29,53,SFEG,01,0.0
2024-04-30,53,SFEG,01,0.0
2024-04-28,54,HEMG,01,0.1
2024-04-27,55,EPSC,01,403410.66
2024-04-28,55,EPSC,01,392203.6
2024-04-29,55,EPSC,01,369968.69
2024-04-30,55,EPSC,01,398501.74
2024-04-27,56,EPSG,01,1585.96
2024-04-28,56,EPSG,01,1812.25
2024-04-29,56,EPSG,01,2260.41
2024-04-30,56,EPSG,01,2276.59
2024-04-27,57,VESC,01,2820.66
2024-04-28,57,VESC,01,1745.25
2024-04-29,57,VESC,01,1484.48
2024-04-30,57,VESC,01,2314.73
2024-04-27,58,NEUC,01,19191.12
2024-04-28,58,NEUC,01,16934.01
2024-04-29,58,NEUC,01,17159.2
2024-04-30,58,NEUC,01,19347.44
2024-04-27,59,VICC,01,303.99
2024-04-28,59,VICC,01,355.59
2024-04-29,59,VICC,01,327.08
2024-04-30,59,VICC,01,303.93
2024-04-27,60,ESOC,01,470.93
2024-04-28,60,ESOC,01,503.36
2024-04-29,60,ESOC,01,504.64
2024-04-30,60,ESOC,01,423.83
2024-04-27,61,CBNC,01,10028.39
2024-04-28,61,CBNC,01,7178.91
2024-04-29,61,CBNC,01,9227.69
