Agente_x,mean,std,max,id,Agente_y,coeficiente_variacion,potencial_mejora
33,1712601.8609375001,282554.74936347856,2109424.1,33,ENDC,0.16498566059527955,396822.23906249995
115,1332483.8527083334,218730.83622996003,1659627.63,115,EPMC,0.16415271058285605,327143.7772916665
44,1002364.8554166667,121917.74373395574,1262657.22,44,CMMC,0.12163010611867126,260292.36458333326
48,1004325.1045833334,108652.3018569153,1234267.64,48,CSSC,0.1081843930427211,229942.53541666653
55,445138.0226041667,66189.3415955841,571691.29,55,EPSC,0.1486939740810282,126553.26739583333
89,347932.1553125,64923.790621580025,468717.23,89,EMIC,0.18659899532214214,120785.07468749996
79,174810.20729166665,44239.29272884236,255834.91,79,GNCC,0.2530704208538015,81024.70270833335
5,265177.44625,40142.53946784377,336934.16,5,ESSC,0.15137991573385468,71756.71375
103,192192.02614583334,24312.026818441056,243613.68,103,CNSC,0.1264986238294472,51421.65385416665
116,422659.2632291667,24028.288572151403,470232.19,116,ISGC,0.05685025897355814,47572.92677083332
108,144722.4584375,24885.51302834409,190160.87,108,EMSC,0.17195336022495206,45438.4115625
81,373752.23718750005,30049.120829716907,419029.58,81,GECC,0.08039850424933291,45277.34281249996
2,115876.36,24026.31781569913,157136.31,2,CHCC,0.20734443000883987,41259.95
107,123304.76885416667,20976.02431478349,160690.56,107,HLAC,0.1701152721805267,37385.791145833326
102,90347.09020833333,19857.52264039203,127357.67,102,CDNC,0.2197915018026827,37010.57979166666
66,137496.05333333332,40081.88109969504,173499.34,66,SOEC,0.29151295712120595,36003.28666666668
37,53080.6628125,17451.91261132829,88402.73,37,ETTC,0.3287809851390652,35322.0671875
35,78687.42395833334,15922.115971101028,112107.81,35,CEOC,0.20234638739135907,33420.38604166666
110,107650.47499999999,18443.948469406838,140331.27,110,EBSC,0.17133178900889048,32680.795
99,93047.98052083334,18416.353101403412,120417.65,99,EEPC,0.19792318971694406,27369.669479166652
16,32805.1934375,17301.53816707197,57186.84,16,DRUC,0.5274024126708663,24381.6465625
62,30492.751145833332,11889.767460898544,50681.41,62,QIEC,0.38992111285843145,20188.65885416667
69,12957.684374999999,7141.527874971236,32822.86,69,TPLC,0.5511422927347879,19865.175625000003
109,51101.6484375,11369.293650602314,69645.14,109,EDQC,0.22248389236420735,18543.4915625
83,61043.78947916667,9195.037078886267,77857.18,83,CASC,0.15063018133932193,16813.390520833324
32,20753.268958333334,8024.091772788466,37473.41,32,ENDG,0.3866423062746675,16720.14104166667
8,32384.364166666666,8423.069268587957,48706.03,8,BIAC,0.2600967931696448,16321.665833333333
106,35125.0875,7498.956905497268,48366.27,106,CQTC,0.21349290319909575,13241.182499999995
58,25260.58916666667,7054.870638342469,38320.05,58,NEUC,0.27928369333728464,13059.460833333334
90,24989.55072916667,5436.959163607083,36053.99,90,RTQC,0.217569304167654,11064.439270833329
75,35080.7365625,4057.539687290119,44798.36,75,ENIC,0.11566289892634346,9717.623437499999
104,22635.941875,4137.200116812112,31388.33,104,CETC,0.18277128204598345,8752.388125000001
20,18468.25322916667,4933.097252792451,26659.78,20,EXEC,0.2671122813608423,8191.52677083333
88,29502.337083333332,4647.6169124942935,37088.04,88,EDPC,0.15753385568629605,7585.702916666669
72,27055.558229166665,3568.2630606152857,33646.42,72,CMXC,0.13188650666126697,6590.861770833333
23,46965.63479166667,5897.353615857304,53235.83,23,CHVC,0.1255674205622299,6270.195208333331
113,1386.1008333333332,1857.8340871606906,7572.35,113,TBSG,1.3403311234529167,6186.249166666667
1,13051.8509375,3776.2434924807644,18462.66,1,ITLC,0.2893262810434824,5410.8090625
114,3758.5404166666667,929.4855080061814,8188.51,114,EPMG,0.2472995910552196,4429.9695833333335
100,9437.500833333334,2102.7053640547347,13658.97,100,EPTC,0.2228031977097116,4221.469166666666
61,7612.361875,2679.3618546615526,11720.08,61,CBNC,0.35197510295207196,4107.718125
82,4543.9353125,2229.9430700153252,8528.83,82,GECG,0.4907514998906194,3984.8946875
91,10465.4840625,2262.8968447920097,14362.01,91,EBPC,0.21622476621988643,3896.5259375000005
64,1810.6678124999999,1506.9985379605266,5381.87,64,RPEC,0.8322887983963247,3571.2021875
87,9947.984270833333,1681.06618372592,13294.94,87,EGVC,0.1689856093414489,3346.955729166668
77,6225.726875,1653.1282999047355,9494.98,77,FERC,0.26553177373441,3269.2531249999993
51,2298.1763541666664,2247.418723281923,5435.9,51,GNYC,0.9779139530381478,3137.723645833333
28,5895.5896875,1445.8127699798283,8549.79,28,ENBC,0.24523632861446965,2654.200312500001
29,522.5422916666666,466.6502966698526,2965.44,29,NTCG,0.8930383322304026,2442.8977083333334
47,7187.443125000001,1354.2472465911108,9266.9,47,GAPC,0.18841849918514808,2079.456874999999
3,620.2947916666667,633.1136640595458,2675.92,3,TMVG,1.0206657746689056,2055.6252083333334
56,2384.6815625,683.238564411903,4418.71,56,EPSG,0.2865114467088949,2034.0284375
93,2589.2147916666668,765.3632375242753,4543.41,93,EMEC,0.29559665732931106,1954.195208333333
74,317.74656250000004,388.8340705475608,2211.11,74,TEMG,1.2237239247790785,1893.3634375000001
68,7920.161041666666,465.63707742466914,9582.21,68,FREC,0.058791364844102155,1662.0489583333328
42,6690.842708333334,1295.7364855511244,8338.69,42,TENC,0.19365818956367126,1647.847291666667
50,356.8532291666667,580.0138391134706,1924.39,50,PRIG,1.625356846196781,1567.5367708333333
57,1831.4611458333331,560.3391636741932,3335.81,57,VESC,0.30595197989812295,1504.3488541666668
97,28.373055555555556,158.9097576103227,1355.28,97,PECG,5.60072767979364,1326.9069444444444
86,2654.1040625,637.6979188011533,3887.58,86,ASCC,0.24026861938505972,1233.4759374999999
98,1552.235625,399.2489771237267,2424.09,98,EVSC,0.2572090027399846,871.8543750000001
34,834.4644791666666,526.6653742975101,1613.22,34,RTAC,0.6311417531198711,778.7555208333334
30,535.1898958333334,242.31270299040312,1129.24,30,SCEC,0.4527602349687542,594.0501041666666
84,1408.718125,225.34125293038747,1977.66,84,HIMC,0.15996191781119268,568.941875
67,245.13625000000002,236.30041789427088,808.96,67,TMNG,0.9639554243579677,563.82375
